206,Philippe Baelde,1972-05-10
207,Carmella Woollam,1933-03-19
208,Yehudit Samwyse,1926-03-14
209,Lester Malthus,2017-02-25
210,Patricio Skerm,1926-08-10
211,Boone Darrigrand,1924-12-22
212,Ruddie Belsher,1983-11-14
213,Hastings Upwood,1938-11-27
214,Ingar Brason,1940-05-28
215,Leontyne Jado,2014-08-11
216,Kirstyn Van der Velden,1964-10-29
217,Kiersten Harrowing,1974-02-08
218,Moreen Haymes,1939-04-08
219,Aindrea Tal,2007-10-28
220,Maurie Marquand,2009-10-09
221,Laurette Faherty,2005-04-05
222,Dominik Horribine,1935-02-07
223,Shermie Cobbled,1988-09-01
224,Wyn Stennine,1993-04-18
225,Anson Riseborough,1996-01-07
226,Kristopher Greetland,1980-02-09
227,Quinn Wulfinger,1987-12-31
228,Elli Jahner,1973-11-23
229,Katleen Borer,1948-07-20
230,Thatcher Tanswill,2018-12-08
231,Geoff Chevin,1984-03-08
232,Ardisj Allman,1961-10-20
233,Enrique Salters,1956-07-19
234,Annnora Rosewall,1946-01-18
235,Vikky Mattholie,1998-09-14
